Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Larry Sanders - 2010,"6' 9.25""","6' 10.5""",222,"7' 5.75""","9' 4""",4.6,9.75,11,25.5,"11' 5.5""",28,"11' 8""",7,12.49,3.27,NA,15
Mamadou Diarra - 2011,"6' 10""","6' 11.5""",223,"7' 4.5""","9' 4""",8.2,10.25,0,26,"11' 6""",32,"12' 0""",NA,NA,4.29,NA,No
Mindaugas Kupsas - 2012,"7' 1""","7' 1.5""",261,"7' 2.25""","9' 4""",12.6,9,0,24,"11' 4""",25,"11' 5""",5,12.44,3.6,NA,No
John Henson - 2012,"6' 9""","6' 10.5""",216,"7' 5""","9' 4""",8.6,9.25,10,25.5,"11' 5.5""",30,"11' 10""",5,NA,NA,NA,14
Izzet Turkyilmaz - 2012,"6' 11.5""","7' 0.75""",211,"7' 2""","9' 4""",NA,0,0,23.5,"11' 3.5""",28.5,"11' 8.5""",NA,11.84,3.58,NA,50
Artem Klimenko - 2012,"6' 11.5""","7' 0.75""",228,"7' 4""","9' 4""",NA,0,0,24.5,"11' 4.5""",28,"11' 8""",NA,11.93,3.7,NA,No
Alexis Ajinca - 2007,NA,"7' 0.75""",207,"7' 8.75""","9' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Artem Zabelin - 2009,"7' 0.25""","7' 1""",230,"7' 0.25""","9' 4""",NA,0,0,24,"11' 4""",29,"11' 9""",NA,NA,3.63,NA,No
Ondrej Balvin - 2013,"7' 1""","7' 2""",261,"7' 0""","9' 4""",NA,0,0,23,"11' 3""",23,"11' 3""",NA,12.75,3.74,NA,No
Thomas Bryant - 2013,NA,"6' 10""",227,"7' 6""","9' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Thomas Bryant - 2014,"6' 9""","6' 10.5""",241,"7' 5.5""","9' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Doral Moore - 2014,NA,"7' 0""",246,"7' 3""","9' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Youssou Ndoye - 2015,"6' 10""",NA,234,"7' 5""","9' 4""",NA,0,0,24.5,"11' 4.5""",NA,NA,NA,12.33,3.46,NA,No
Dakari Johnson - 2015,"6' 11""","6' 11.75""",265,"7' 2""","9' 4""",14.9,9.25,10.5,22.5,"11' 2.5""",25,"11' 5""",4,11.5,3.62,NA,48
Myles Turner - 2015,"6' 9.75""","6' 11.5""",239,"7' 4""","9' 4""",9.3,9.25,9.25,NA,NA,NA,NA,NA,NA,NA,NA,11
Buay Koka - 2015,"6' 9.5""",NA,176,"7' 6""","9' 4""",NA,0,0,21.5,"11' 1.5""",30,"11' 10""",NA,13.14,3.71,NA,No
Elbert Robinson - 2015,"6' 10.5""","7' 0""",292,"7' 4.75""","9' 4""",19.1,10,10.25,25.5,"11' 5.5""",31,"11' 11""",16,12.38,3.64,NA,No
Youssou Ndoye - 2016,"6' 10.5""","6' 11.5""",247,"7' 4.5""","9' 4""",NA,0,0,24,"11' 4""",31,"11' 11""",NA,12.15,3.59,NA,No
Omer Asik - 2008,NA,"7' 0.5""",250,"7' 2.25""","9' 4""",NA,0,0,24.4,"11' 4.40""",29,"11' 9""",NA,NA,NA,NA,No
Yannick Driesen - 2008,NA,"7' 1""",208,"6' 11.75""","9' 4""",NA,0,0,24,"11' 4""",30,"11' 10""",NA,NA,NA,NA,No
Artem Zabelin - 2008,NA,"7' 1.5""",208,"6' 11.75""","9' 4""",NA,0,0,24,"11' 4""",30,"11' 10""",NA,NA,NA,NA,No
Dejan Musli - 2010,"6' 11.07""","7' 0.65""",248,"7' 3.01""","9' 3.81""",NA,0,0,24.4,"11' 4.21""",28.3,"11' 8.11""",NA,NA,NA,NA,No
Thomas Bryant - 2013,"6' 7""","6' 9""",225,"7' 5""","9' 3.75""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Vladimir Golubovic - 2008,"6' 11.25""","7' 0.25""",258,"7' 2.5""","9' 3.5""",6.9,0,0,21.5,"11' 1""",27,"11' 6.5""",15,12.4,3.33,NA,No
Eddy Fobbs - 2005,"6' 10.25""","6' 11.25""",235,"7' 6.75""","9' 3.5""",NA,0,0,29.5,"11' 9""",34,"12' 1.5""",12,11.53,3.28,36,No
Luke Schenscher - 2005,"6' 11.75""","7' 1.5""",242,"7' 5""","9' 3.5""",NA,0,0,23.5,"11' 3""",26.5,"11' 6""",1,12.4,3.47,75,No
Marcus Douthit - 2004,"6' 9.5""","6' 11""",223,"7' 4""","9' 3.5""",NA,0,0,25.5,"11' 5""",31.5,"11' 11""",1,11.64,3.34,63,56
Dwight Howard - 2004,"6' 9""","6' 10.25""",240,"7' 4.5""","9' 3.5""",NA,0,0,30.5,"11' 10""",35.5,"12' 3""",7,11.21,3.14,29,1
Martin Iti - 2004,"6' 8.5""","6' 9.75""",233,"7' 5""","9' 3.5""",NA,0,0,26.5,"11' 6""",32.5,"12' 0""",13,12.28,3.41,49,No
Peter Ramos - 2004,"7' 1.75""","7' 3.25""",266,"7' 5.5""","9' 3.5""",NA,0,0,24,"11' 3.5""",26.5,"11' 6""",2,12.61,3.6,73,32
Darko Milicic - 2003,"6' 11.5""","7' 0.75""",250,"7' 5""","9' 3.5""",8,0,0,26.5,"11' 6""",32.5,"12' 0""",13,11.3,3.36,41,2
Darrell Johns - 2001,"6' 11.25""","7' 0.5""",278,"7' 5""","9' 3.5""",NA,0,0,23.5,"11' 3""",30,"11' 9.5""",18,12.41,3.59,64,No
Karim Shabazz - 2000,"6' 11.5""","6' 11.88""",224,"7' 3""","9' 3.5""",NA,0,0,24.5,"11' 4""",28,"11' 7.5""",2,12.72,3.36,59,No
Jeff Foote - 2010,"7' 0.25""",NA,252,"7' 4""","9' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Cole Aldrich - 2010,"6' 9""","6' 11.25""",236,"7' 4.75""","9' 3.5""",8.5,9,9.25,23,"11' 2.5""",28,"11' 7.5""",10,11.48,3.35,NA,11
Gorgui Dieng - 2013,"6' 9.75""","6' 10.75""",230,"7' 3.5""","9' 3.5""",5.4,9,10,NA,NA,NA,NA,NA,NA,NA,NA,21
Aaric Murray - 2014,"6' 9""",NA,250,"7' 2.5""","9' 3.5""",NA,0,0,25.5,"11' 5""",NA,NA,NA,12.62,3.56,NA,No
Ilja Gromovs - 2014,"6' 9.75""","6' 10.75""",229,"7' 2.25""","9' 3.5""",NA,0,0,23.5,"11' 3""",30,"11' 9.5""",NA,13.59,3.57,NA,No
Christian Wood - 2015,"6' 9.25""","6' 10.5""",216,"7' 3.25""","9' 3.5""",14.7,9.25,10.75,NA,NA,NA,NA,NA,NA,NA,NA,No
Nysier Brooks - 2015,"6' 9.5""",NA,260,"7' 1""","9' 3.5""",NA,0,0,18,"10' 9.5""",24.5,"11' 4""",NA,13.03,3.6,NA,No
Jakob Poeltl - 2016,"7' 0.25""","7' 1""",239,"7' 2.75""","9' 3.5""",5.8,9.25,10.25,NA,NA,NA,NA,NA,NA,NA,NA,No
Bismack Biyombo - 2011,"6' 8.31""","6' 9.5""",245,"7' 6.16""","9' 3.42""",4.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7
Samuel Deguara - 2011,"7' 3.40""","7' 4.58""",300,"7' 5.76""","9' 3.42""",7.5,0,0,17.6,"10' 9.02""",24.2,"11' 3.62""",NA,NA,4.21,NA,No
James Banks - 2016,NA,"6' 10.5""",242,"7' 5.25""","9' 3.25""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Daniel Clark - 2010,"6' 10.68""","6' 11.86""",241,"7' 1.43""","9' 3.02""",NA,0,0,23.2,"11' 2.22""",28.7,"11' 7.72""",NA,NA,NA,NA,No
James Hughes - 2007,"6' 9.75""","6' 10.75""",209,"7' 3""","9' 3""",3.5,0,0,31,"11' 10""",33,"12' 0""",8,13.31,3.37,71,No
Shawn James - 2008,"6' 7.75""","6' 9""",217,"7' 5""","9' 3""",9.2,0,0,NA,NA,NA,NA,6,NA,NA,NA,No
Melvin Ely - 2002,"6' 9""","6' 10""",240,"7' 4""","9' 3""",NA,0,0,26,"11' 5""",29,"11' 8""",7,11.96,3.35,70,12
Jason Jennings - 2002,"6' 11.25""","7' 0.5""",249,"7' 7""","9' 3""",NA,0,0,29,"11' 8""",32,"11' 11""",8,11.92,3.62,62,42
Ruben Boumtje-Boumtje - 2001,"6' 11.5""",NA,245,"7' 4""","9' 3""",NA,0,0,26.5,"11' 5.5""",31,"11' 10""",6,11.84,3.33,65,49
Eric Chenowith - 2001,"7' 1""","7' 2""",264,"7' 4""","9' 3""",NA,0,0,23.5,"11' 2.5""",27.5,"11' 6.5""",6,12.5,3.59,76,42
