Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Oleksandr Kobets - 2015,"6' 4""","6' 5""",201,"6' 5.25""","8' 4""",NA,0,0,26.5,"10' 6.5""",30,"10' 10""",NA,11.58,3.46,NA,No
Isaiah Briscoe - 2015,"6' 2.25""","6' 3.25""",216,"6' 9.5""","8' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Terrell Turner - 2015,"6' 2.5""",NA,190,"6' 6""","8' 4""",NA,0,0,27.5,"10' 7.5""",36.5,"11' 4.5""",NA,12.04,3.56,NA,No
Mitchell Ballock - 2015,"6' 3.5""",NA,189,"6' 7""","8' 4""",NA,0,0,26.5,"10' 6.5""",34.5,"11' 2.5""",NA,11.57,3.42,NA,No
Eric Hester - 2015,"6' 1.75""",NA,167,"6' 9""","8' 4""",NA,0,0,27.5,"10' 7.5""",34,"11' 2""",NA,12.27,3.41,NA,No
Devon Daniels - 2015,"6' 2.5""",NA,196,"6' 7""","8' 4""",NA,0,0,26,"10' 6""",33.5,"11' 1.5""",NA,11.19,3.27,NA,No
Ty-Shon Alexander - 2015,"6' 2""",NA,194,"6' 8""","8' 4""",NA,0,0,23.5,"10' 3.5""",32,"11' 0""",NA,11.96,3.44,NA,No
Ron Baker - 2015,"6' 2""","6' 4""",210,"6' 9.5""","8' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Kellen Dunham - 2015,"6' 3""","6' 5""",190,"6' 4.5""","8' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Josh Langford - 2016,NA,"6' 4.75""",200,"6' 7.5""","8' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Alex Caruso - 2016,"6' 4.5""","6' 5.5""",181,"6' 5.5""","8' 4""",NA,0,0,28,"10' 8""",NA,NA,NA,11.36,3.18,NA,No
Kellen Dunham - 2016,"6' 4.5""","6' 6""",205,"6' 5.5""","8' 4""",NA,0,0,24.5,"10' 4.5""",NA,NA,NA,11.04,3.42,NA,No
A.J. English - 2016,"6' 2""","6' 3.5""",180,"6' 9""","8' 4""",NA,0,0,26,"10' 6""",NA,NA,NA,11.86,3.43,NA,No
Maodo Lo - 2016,"6' 2""","6' 3.5""",200,"6' 7.5""","8' 4""",NA,0,0,26,"10' 6""",NA,NA,NA,11.02,3.24,NA,No
Dyshawn Pierre - 2016,"6' 6""","6' 7.5""",223,"6' 10""","8' 4""",NA,0,0,30,"10' 10""",NA,NA,NA,11.91,3.41,NA,No
Wade Baldwin - 2016,"6' 2.5""","6' 4""",202,"6' 11.25""","8' 4""",5.2,9,9.75,32.5,"11' 0.5""",38,"11' 6""",NA,10.45,3.19,NA,No
Kris Dunn - 2016,"6' 3""","6' 4.25""",,"6' 9.5""","8' 4""",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Isaiah Whitehead - 2016,"6' 3.25""","6' 4.5""",210,"6' 8.75""","8' 4""",9.3,8.5,8.75,27.5,"10' 7.5""",35.5,"11' 3.5""",NA,11.65,3.34,NA,No
Jordan Cornish - 2015,"6' 3.75""","6' 5.25""",221,"6' 6""","8' 4""",7.6,8.25,9.25,27.5,"10' 7.5""",35,"11' 3""",14,10.7,3.14,NA,No
Mantas Kalnietis - 2008,NA,"6' 5.5""",205,"6' 5""","8' 4""",NA,0,0,25,"10' 5""",35,"11' 3""",NA,NA,NA,NA,No
Fabian Causer - 2008,NA,"6' 4.25""",200,"6' 4.25""","8' 4""",NA,0,0,23,"10' 3""",31,"10' 11""",NA,NA,NA,NA,No
Aleksa Avramovic - 2016,"6' 2""","6' 3.5""",182,"6' 5""","8' 4""",NA,0,0,29.5,"10' 9.5""",33.5,"11' 1.5""",NA,11.41,3.29,NA,No
Theo Maledon - 2016,"6' 2""","6' 3""",166,"6' 7.5""","8' 4""",NA,0,0,26,"10' 6""",30.5,"10' 10.5""",NA,12.29,3.45,NA,No
Immanuel Quickley - 2016,NA,"6' 2.5""",175,"6' 7""","8' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
"Gary Trent, Jr. - 2016",NA,"6' 5""",203,"6' 8""","8' 4""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mike Smith - 2011,"6' 4.75""",NA,223,"6' 7""","8' 3.75""",NA,0,0,28.5,"10' 8.25""",NA,NA,NA,11.57,3.29,NA,35
Antonio Blakeney - 2015,"6' 3""","6' 4""",190,"6' 7.5""","8' 3.75""",4.7,8.5,9.5,39,"11' 6.75""",45,"12' 0.75""",8,11.27,2.98,NA,No
Roberto Rullo - 2010,"6' 3.59""","6' 4.77""",211,"6' 5.95""","8' 3.61""",NA,0,0,24.8,"10' 4.41""",36.2,"11' 3.81""",NA,NA,NA,NA,No
Edwin Jackson - 2010,"6' 2.02""","6' 3.20""",201,"6' 6.74""","8' 3.61""",NA,0,0,31.1,"10' 10.71""",36.2,"11' 3.81""",NA,NA,NA,NA,No
Dairis Bertans - 2010,"6' 3.98""","6' 5.17""",194,"6' 3.98""","8' 3.61""",NA,0,0,25.6,"10' 5.21""",34.3,"11' 1.91""",NA,NA,NA,NA,No
Josep Franch - 2010,"6' 2.41""","6' 3.59""",190,"6' 5.17""","8' 3.61""",NA,0,0,24,"10' 3.61""",34.3,"11' 1.91""",NA,NA,NA,NA,No
Tomaz Satoransky - 2011,"6' 5.95""","6' 7.13""",207,"6' 7.13""","8' 3.61""",5.3,0,0,20.9,"10' 0.51""",36.1,"11' 3.71""",NA,NA,3.17,NA,32
Coby Karl - 2007,"6' 3.5""","6' 4.75""",204,"6' 11""","8' 3.5""",7.8,0,0,32,"10' 11.5""",34.5,"11' 2""",9,11.57,3.41,49,No
Coby Karl - 2006,"6' 3.5""","6' 4.5""",209,"7' 0""","8' 3.5""",7.8,0,0,32,"10' 11.5""",35.5,"11' 3""",8,11.46,3.32,46,No
Allan Ray - 2006,"6' 1""","6' 2.25""",204,"6' 8""","8' 3.5""",9.8,0,0,28.5,"10' 8""",35.5,"11' 3""",9,11.01,3.2,32,No
Joah Tucker - 2006,"6' 3.75""","6' 5.25""",224,"6' 6.5""","8' 3.5""",7,0,0,29,"10' 8.5""",34,"11' 1.5""",19,11.58,3.31,21,No
O.J. Mayo - 2008,"6' 3.25""","6' 4.25""",200,"6' 6""","8' 3.5""",6.3,0,0,30.5,"10' 10""",41,"11' 8.5""",7,11.04,3.14,NA,3
Joe Crawford - 2008,"6' 3""","6' 4""",213,"6' 5.75""","8' 3.5""",7.6,0,0,31,"10' 10.5""",36,"11' 3.5""",13,11.67,3.22,NA,58
Bryce Taylor - 2008,"6' 2.75""","6' 4.25""",210,"6' 9""","8' 3.5""",8.3,0,0,34.5,"11' 2""",41,"11' 8.5""",16,11.08,3.19,NA,No
Larry O'Bannon - 2005,"6' 3""","6' 4.25""",196,"6' 6""","8' 3.5""",NA,0,0,31.5,"10' 11""",36.5,"11' 4""",17,11.44,3.18,5,No
Kelvin Pena - 2004,"6' 2.25""","6' 3.25""",182,"6' 6.5""","8' 3.5""",NA,0,0,27.5,"10' 7""",32.5,"11' 0""",1,11.5,3.24,56,No
Delonte West - 2004,"6' 1.5""","6' 2.75""",183,"6' 6""","8' 3.5""",NA,0,0,30,"10' 9.5""",35,"11' 2.5""",12,11.2,3.15,21,24
Carl English - 2003,"6' 4""","6' 4.75""",201,"6' 5.25""","8' 3.5""",8,0,0,28,"10' 7.5""",34,"11' 1.5""",11,11.77,3.32,47,No
Bernard King - 2003,"6' 3.75""","6' 4.75""",200,"6' 5.5""","8' 3.5""",12.9,0,0,28,"10' 7.5""",33.5,"11' 1""",11,11.37,3.18,30,No
Damon Hancock - 2002,"6' 2.75""","6' 3.75""",203,"6' 6""","8' 3.5""",NA,0,0,32,"10' 11.5""",35,"11' 2.5""",15,11.62,3.03,6,No
Jobey Thomas - 2002,"6' 2.75""","6' 4.25""",183,"6' 5.75""","8' 3.5""",NA,0,0,26,"10' 5.5""",32,"10' 11.5""",13,11.46,3.3,37,No
Gilbert Arenas - 2001,"6' 2.25""",NA,199,"6' 9.5""","8' 3.5""",NA,0,0,31.5,"10' 11""",36,"11' 3.5""",12,NA,3.25,47,30
Brandon Armstrong - 2001,"6' 3.5""","6' 4.5""",188,"6' 9.5""","8' 3.5""",NA,0,0,30,"10' 9.5""",37,"11' 4.5""",6,10.91,3.2,26,23
Trenton Hassell - 2001,"6' 4.25""","6' 5.25""",205,"6' 8""","8' 3.5""",NA,0,0,35.5,"11' 3""",37.5,"11' 5""",12,11.57,3.29,27,29
DeMarcus Minor - 2001,"6' 3.25""","6' 4.5""",207,"6' 8.25""","8' 3.5""",NA,0,0,29,"10' 8.5""",41,"11' 8.5""",9,10.57,3.15,16,No
Will Solomon - 2001,"5' 11.75""","6' 1.25""",172,"6' 9.5""","8' 3.5""",NA,0,0,28.5,"10' 8""",35,"11' 2.5""",4,11.3,3.22,41,32
Jerel McNeal - 2009,"6' 1.5""","6' 3""",190,"6' 7.25""","8' 3.5""",5.4,0,0,31.5,"10' 11""",36.5,"11' 4""",10,10.61,3.25,NA,46
Jermaine Beal - 2010,"6' 2.75""",NA,209,"6' 8""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Armon Johnson - 2010,"6' 2""","6' 3.25""",195,"6' 8""","8' 3.5""",5.6,8.25,9.25,31.5,"10' 11""",38.5,"11' 6""",18,11.25,3.19,NA,34
Willie Warren - 2010,"6' 2.5""","6' 3.75""",208,"6' 6""","8' 3.5""",7.6,8.5,9.5,23,"10' 2.5""",31.5,"10' 11""",10,11.21,3.5,NA,54
Delmonte Harper - 2011,"6' 2.5""",NA,188,"6' 7.5""","8' 3.5""",NA,0,0,32,"10' 11.5""",NA,NA,NA,13.63,3.15,NA,No
Mark Payne - 2011,"6' 5.5""",NA,206,"6' 5.5""","8' 3.5""",NA,0,0,29.5,"10' 9""",NA,NA,NA,12.11,3.34,NA,No
Demetri McCamey - 2011,"6' 1.75""","6' 3.25""",204,"6' 6.25""","8' 3.5""",6.1,8.5,9,27,"10' 6.5""",33,"11' 0.5""",NA,11.55,3.19,NA,52
E'Twaun Moore - 2011,"6' 2.5""","6' 4""",191,"6' 9.5""","8' 3.5""",7.6,9,10,32,"10' 11.5""",34.5,"11' 2""",NA,11.12,3.31,NA,55
Iman Shumpert - 2011,"6' 4.25""","6' 5.5""",222,"6' 9.5""","8' 3.5""",6.5,9,9,36.5,"11' 4""",42,"11' 9.5""",18,11.1,3.18,NA,17
Jordan Price - 2010,"6' 4.5""",NA,238,"6' 9""","8' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Levi Randolph - 2010,"6' 4""",NA,179,"6' 9""","8' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Stauskas - 2010,"6' 5""",NA,200,"6' 7""","8' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Byron Wesley - 2010,"6' 4""",NA,199,"6' 7""","8' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Harris - 2012,"6' 3""","6' 4""",210,"6' 6.5""","8' 3.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
Jae Crowder - 2012,"6' 4.75""","6' 6.5""",241,"6' 9.25""","8' 3.5""",9,9.5,10.5,31,"10' 10.5""",34.5,"11' 2""",20,11.45,3.37,NA,34
Josep Franch - 2012,"6' 2.75""","6' 3.5""",186,"6' 5.5""","8' 3.5""",NA,0,0,24,"10' 3.5""",30,"10' 9.5""",NA,11.67,3.4,NA,No
Dovydas Redikas - 2012,"6' 3.25""","6' 4.5""",204,"6' 7""","8' 3.5""",NA,0,0,26,"10' 5.5""",29.5,"10' 9""",NA,11.75,3.48,NA,No
Abdul Gaddy - 2013,"6' 2.5""",NA,195,"6' 7.5""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Elston Turner - 2013,"6' 3.75""",NA,220,"6' 8""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Kevin Foster - 2013,"6' 1.5""",NA,219,"6' 8.5""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Dexter Strickland - 2013,"6' 2.5""",NA,177,"6' 8.5""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Terance Ferguson - 2013,"6' 4""","6' 5""",161,"6' 7""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Davion Berry - 2014,"6' 2.5""",NA,183,"6' 6.75""","8' 3.5""",NA,0,0,27,"10' 6.5""",NA,NA,NA,11.12,3.42,NA,No
Langston Galloway - 2014,"6' 1.5""",NA,188,"6' 8""","8' 3.5""",NA,0,0,31.5,"10' 11""",NA,NA,NA,11.04,3.23,NA,No
Harrison Butler - 2014,"6' 2.5""","6' 3.25""",198,"6' 7""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Luke Kennard - 2014,"6' 4.5""","6' 5.5""",192,"6' 5""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Joshua Brown - 2012,"6' 1.5""",NA,176,"6' 7.75""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Keith Frazier - 2012,"6' 4.5""",NA,191,"6' 7.5""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
AJ Lapray - 2012,"6' 3.5""",NA,182,"6' 4.25""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Ryan Manning - 2012,"6' 4.5""",NA,180,"6' 2.75""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Larry Richardson - 2012,"6' 1.25""",NA,175,"6' 6.75""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Stefan Peno - 2015,NA,"6' 6""",200,"6' 7.25""","8' 3.5""",NA,8.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,No
Will Sheehey - 2015,"6' 5""","6' 6.25""",203,"6' 5.5""","8' 3.5""",NA,0,0,32.5,"11' 0""",38,"11' 5.5""",NA,11.57,3.36,NA,No
Pat Connaughton - 2015,"6' 3.75""",NA,206,"6' 9""","8' 3.5""",NA,0,0,32.5,"11' 0""",NA,NA,NA,11.97,3.35,NA,41
K.T. Harrell - 2015,"6' 3.25""",NA,206,"6' 9.5""","8' 3.5""",NA,0,0,35,"11' 2.5""",NA,NA,NA,11.77,3.45,NA,No
Pierria Henry - 2015,"6' 3.25""",NA,191,"6' 8""","8' 3.5""",NA,0,0,28,"10' 7.5""",NA,NA,NA,11.31,3.26,NA,No
Corey Hawkins - 2015,"6' 0.75""","6' 1.75""",192,"6' 8""","8' 3.5""",5.5,8.3,9,28.5,"10' 8""",34,"11' 1.5""",9,10.97,3.51,NA,No
Viktor Pulpan - 2015,"6' 3""","6' 4""",179,"6' 5.5""","8' 3.5""",NA,0,0,26.5,"10' 6""",30.5,"10' 10""",NA,11.22,3.3,NA,No
Jake Lindsey - 2015,NA,"6' 5""",191,"6' 6.5""","8' 3.5""",6.7,8.5,10.25,NA,NA,36,"11' 3.5""",5,9.8,3.12,NA,No
Bryn Forbes - 2016,"6' 2""","6' 3""",187,"6' 5""","8' 3.5""",NA,0,0,24.5,"10' 4""",NA,NA,NA,11.13,3.3,NA,No
Marvelle Harris - 2016,"6' 3""","6' 4""",226,"6' 7.5""","8' 3.5""",NA,0,0,27.5,"10' 7""",NA,NA,NA,11.51,3.21,NA,No
Melvin Johnson - 2016,"6' 2""","6' 3.5""",200,"6' 6""","8' 3.5""",NA,0,0,27,"10' 6.5""",NA,NA,NA,11.01,3.34,NA,No
Josh Hart - 2016,"6' 4""","6' 5.5""",204,"6' 8.5""","8' 3.5""",5.8,8.5,9.25,29.5,"10' 9""",38.5,"11' 6""",NA,11.15,3.2,NA,No
Sheldon McClellan - 2016,"6' 5""","6' 6.25""",198,"6' 7""","8' 3.5""",4.8,8,8,35,"11' 2.5""",41.5,"11' 9""",NA,10.45,3.26,NA,No
Gary Payton II - 2016,"6' 2""","6' 3""",184,"6' 8""","8' 3.5""",4,8.75,9.5,31.5,"10' 11""",38.5,"11' 6""",NA,11.57,3.23,NA,No
Danilo Fuzaro - 2016,"6' 3""","6' 4""",201,"6' 6.5""","8' 3.5""",NA,0,0,28,"10' 7.5""",35.5,"11' 3""",NA,12.17,3.33,NA,No
David Michineau - 2016,"6' 2.5""","6' 3.5""",180,"6' 5""","8' 3.5""",NA,0,0,26.5,"10' 6""",35,"11' 2.5""",NA,12.03,3.27,NA,No
Gleb Bednyakov - 2016,"6' 4""","6' 5""",169,"6' 5""","8' 3.5""",NA,0,0,21.5,"10' 1""",25.5,"10' 5""",NA,12.59,3.68,NA,No
Javonte Smart - 2016,NA,"6' 4.5""",190,"6' 7""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mattia Palumbo - 2016,"6' 5.25""",NA,198,"0' 7.5""","8' 3.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Obi Muonelo - 2010,"6' 3.75""",NA,232,"6' 8.75""","8' 3.25""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Justin Hurtt - 2011,"6' 3.25""",NA,195,"6' 7""","8' 3.25""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Cam Long - 2011,"6' 2.75""",NA,191,"6' 8.5""","8' 3.25""",NA,0,0,31,"10' 10.25""",NA,NA,NA,12.56,3.21,NA,No
Kim English - 2012,"6' 3.5""","6' 4.5""",198,"6' 6.75""","8' 3.25""",8.4,9,0,29.3,"10' 8.55""",35.3,"11' 2.55""",6,11,3.23,NA,44
Fabio Gazzillo - 2016,"6' 4.75""",NA,184,"6' 4.5""","8' 3.25""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Ron Lewis - 2007,"6' 2.75""","6' 4.5""",194,"6' 6.5""","8' 3""",4.5,0,0,33,"11' 0""",38,"11' 5""",16,11.59,3.22,9,No
Mustafa Shakur - 2007,"6' 3""","6' 4.5""",185,"6' 5.5""","8' 3""",4.6,0,0,28.5,"10' 7.5""",35,"11' 2""",11,11.82,3.27,39,No
Dan Grunfeld - 2006,"6' 4.75""","6' 6""",216,"6' 6.25""","8' 3""",10.4,0,0,28,"10' 7""",33.5,"11' 0.5""",16,11.3,3.46,42,No
Eric Gordon - 2008,"6' 2""","6' 3.25""",222,"6' 9""","8' 3""",8.2,0,0,32,"10' 11""",40,"11' 7""",15,10.81,3.01,NA,7
Ben Gordon - 2004,"6' 1""","6' 2.25""",192,"6' 8.5""","8' 3""",NA,0,0,31.5,"10' 10.5""",37.5,"11' 4.5""",12,11.28,3.19,17,3
Brian Brown - 2002,"6' 2.5""","6' 3.75""",194,"6' 7""","8' 3""",NA,0,0,26,"10' 5""",33,"11' 0""",8,11.43,3.29,47,No
Anthony Grundy - 2002,"6' 0.75""","6' 2""",167,"6' 7.75""","8' 3""",NA,0,0,27.5,"10' 6.5""",32,"10' 11""",,11.1,3.39,55,No
Tito Maddox - 2002,"6' 3""","6' 4.25""",200,"6' 5""","8' 3""",NA,0,0,27,"10' 6""",32.5,"10' 11.5""",,12.2,3.24,61,37
Dajuan Wagner - 2002,"6' 0.75""","6' 2""",193,"6' 2""","8' 3""",NA,0,0,28,"10' 7""",35,"11' 2""",16,12.03,3.22,21,6
Cookie Belcher - 2001,"6' 3""","6' 4.25""",206,"6' 8.5""","8' 3""",NA,0,0,35,"11' 2""",41.5,"11' 8.5""",7,11.26,2.91,10,No
Ryan Carroll - 2001,"6' 4""","6' 5.25""",202,"6' 8.25""","8' 3""",NA,0,0,34.5,"11' 1.5""",39,"11' 6""",14,11,3.1,2,No
Jerry Green - 2001,"6' 1.5""","6' 2.75""",179,"6' 6.25""","8' 3""",NA,0,0,28.5,"10' 7.5""",35,"11' 2""",13,11.7,3.17,32,No
Norman Richardson - 2001,"6' 3.5""","6' 4.5""",180,"6' 4.5""","8' 3""",NA,0,0,30.5,"10' 9.5""",35.5,"11' 2.5""",2,10.97,3.15,29,No
Marcus Thornton - 2009,"6' 2.75""","6' 3.75""",194,"6' 5""","8' 3""",4.8,0,0,31,"10' 10""",33,"11' 0""",14,10.73,3.28,NA,43
Jon Scheyer - 2010,"6' 4.75""","6' 6""",180,"6' 3.25""","8' 3""",5.4,7.75,9.5,NA,NA,NA,NA,NA,NA,NA,NA,No
Diante Garrett - 2011,"6' 3.5""",NA,181,"6' 8.5""","8' 3""",NA,0,0,28,"10' 7""",NA,NA,NA,10.87,3.31,NA,No
Brad Wanamaker - 2011,"6' 2.75""",NA,208,"6' 8.5""","8' 3""",NA,0,0,26.5,"10' 5.5""",NA,NA,NA,11.97,3.34,NA,No
Jon Diebler - 2011,"6' 5.25""","6' 6.5""",197,"6' 6""","8' 3""",8.5,8.25,8.25,28,"10' 7""",35,"11' 2""",2,10.94,3.37,NA,51
Kyrie Irving - 2011,"6' 1.75""","6' 3.5""",191,"6' 4""","8' 3""",10.2,8.25,9.25,NA,NA,NA,NA,NA,NA,NA,NA,1
Cory Joseph - 2011,"6' 2""","6' 3.25""",186,"6' 5.5""","8' 3""",9.7,8.5,10.5,27.5,"10' 6.5""",35,"11' 2""",5,10.75,3.27,NA,29
Nolan Smith - 2011,"6' 1.5""","6' 3.5""",188,"6' 5.5""","8' 3""",5.6,8.5,9.25,28.5,"10' 7.5""",34,"11' 1""",9,11.05,3.17,NA,21
Ben McLemore - 2010,"6' 4""",NA,182,"6' 8""","8' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Orlando Johnson - 2012,"6' 3.75""","6' 5.25""",224,"6' 11.25""","8' 3""",7,9,9.5,32,"10' 11""",39.5,"11' 6.5""",13,10.98,3.25,NA,36
Kevin Murphy - 2012,"6' 5""","6' 6.25""",194,"6' 6.75""","8' 3""",5.8,8.5,8.5,31,"10' 10""",36.5,"11' 3.5""",11,10.97,3.42,NA,47
Jaka Blazic - 2012,"6' 4""","6' 5""",190,"6' 6""","8' 3""",NA,0,0,27.5,"10' 6.5""",31.5,"10' 10.5""",NA,11.39,3.45,NA,No
Nihad Djedovic - 2012,"6' 5.5""","6' 7""",211,"6' 7""","8' 3""",NA,0,0,29,"10' 8""",32.5,"10' 11.5""",NA,11.12,3.42,NA,No
Derrick Rose - 2007,NA,"6' 3.5""",NA,"6' 7""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Daniel Hackett - 2009,"6' 4.25""","6' 5.5""",210,"6' 4.25""","8' 3""",NA,0,0,0,NA,0,NA,NA,NA,0,NA,No
Jayson Granger - 2009,"6' 2.25""","6' 3.5""",200,"6' 7""","8' 3""",NA,0,0,28,"10' 7""",31,"10' 10""",NA,NA,3.6,NA,No
Edwin Jackson - 2009,"6' 1.5""","6' 2.75""",200,"6' 7""","8' 3""",NA,0,0,32,"10' 11""",35,"11' 2""",NA,NA,3.57,NA,No
Nando De Colo - 2009,"6' 4.25""","6' 5""",186,"6' 5.5""","8' 3""",NA,0,0,0,NA,0,NA,NA,NA,3.67,NA,53
Abdoulaye Mbaye - 2009,"6' 0.75""","6' 1.75""",211,"6' 5.75""","8' 3""",NA,0,0,28,"10' 7""",30,"10' 9""",NA,NA,3.57,NA,No
Kostas Papanikolaou - 2009,"6' 5.75""","6' 7""",221,"6' 8""","8' 3""",NA,0,0,22,"10' 1""",31,"10' 10""",NA,NA,3.81,NA,48
Stefan Markovic - 2009,"6' 4.25""","6' 5.5""",199,"6' 5.5""","8' 3""",NA,0,0,27,"10' 6""",31,"10' 10""",NA,NA,3.53,NA,No
Rodrigue Beaubois - 2009,"6' 1""","6' 1.75""",181,"6' 10.25""","8' 3""",NA,0,0,0,NA,0,NA,NA,NA,0,NA,25
Nemanja Gordic - 2009,"6' 2.25""","6' 3.75""",194,"6' 5""","8' 3""",NA,0,0,24,"10' 3""",32,"10' 11""",NA,NA,3.67,NA,No
Malik Story - 2013,"6' 3.25""",NA,218,"6' 7""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Travis Releford - 2013,"6' 4.25""",NA,204,"6' 9.5""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Adonis Thomas - 2013,"6' 4.75""","6' 5.75""",232,"7' 1""","8' 3""",7.5,9.25,9.5,34.5,"11' 1.5""",40.5,"11' 7.5""",13,11.66,3.32,NA,No
B.J. Young - 2013,"6' 2.25""","6' 3.5""",179,"6' 8.25""","8' 3""",4.7,8.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,No
Michael Snaer - 2013,"6' 3.5""","6' 4.5""",201,"6' 8""","8' 3""",7,8,9.5,32,"10' 11""",37,"11' 4""",10,10.92,3.2,NA,No
Tyus Battle - 2012,"6' 3""","6' 4""",214,"6' 7""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Malik Newman - 2013,"6' 2.5""","6' 3.5""",176,"6' 4.5""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Nemanja Nedovic - 2013,"6' 3""","6' 4""",200,"6' 6.75""","8' 3""",NA,0,0,30,"10' 9""",35,"11' 2""",NA,10.8,3.15,NA,30
Rodney Purvis - 2013,"6' 2""","6' 3.5""",205,"6' 6""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Eric Davis - 2013,NA,"6' 2""",174,"6' 6""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Quentin Goodin - 2013,NA,"6' 2.5""",171,"6' 6""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Sean Armand - 2014,"6' 2.25""",NA,194,"6' 7.5""","8' 3""",NA,0,0,28.5,"10' 7.5""",NA,NA,NA,11.42,3.47,NA,No
Travis Bader - 2014,"6' 4""",NA,184,"6' 6.5""","8' 3""",NA,0,0,24.5,"10' 3.5""",NA,NA,NA,11.89,3.36,NA,No
Kareem Jamar - 2014,"6' 3.75""",NA,203,"6' 7""","8' 3""",NA,0,0,27,"10' 6""",NA,NA,NA,11.43,3.46,NA,No
Semaj Christon - 2014,"6' 1.5""","6' 3.25""",186,"6' 6.5""","8' 3""",5.3,8.5,8.25,30.5,"10' 9.5""",36.5,"11' 3.5""",NA,11.55,3.32,NA,55
DeAndre Kane - 2014,"6' 2.75""","6' 4.5""",200,"6' 8""","8' 3""",5,8.25,9,31.5,"10' 10.5""",35.5,"11' 2.5""",NA,10.95,3.16,NA,No
Sean Kilpatrick - 2014,"6' 2.5""","6' 4.25""",219,"6' 7""","8' 3""",9.2,9,9,NA,NA,NA,NA,NA,NA,NA,NA,No
Marcus Smart - 2014,"6' 2""","6' 3.25""",227,"6' 9.25""","8' 3""",10.6,9,8.75,33,"11' 0""",36,"11' 3""",NA,10.82,3.26,NA,6
Kendall Williams - 2014,"6' 2.25""","6' 3.75""",183,"6' 5.5""","8' 3""",7.2,8,7.75,27,"10' 6""",33,"11' 0""",NA,10.83,NA,NA,No
Nojel Eastern - 2014,"6' 2.75""","6' 3.75""",184,"6' 6.5""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Javonte Smart - 2014,"6' 1.75""","6' 2.75""",174,"6' 6""","8' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
