,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
47,47,1990-02-05,@,NYK,L,107,116,46,105,.438,1,2,.500,14,24,.583,24,49,26,10,3,14,19,,50,86,.581,2,2,1.000,14,21,.667,8,41,37,11,11,23,22
48,48,1990-02-06,,WSB,L,100,118,42,96,.438,0,3,.000,16,23,.696,16,42,23,10,6,14,22,,50,94,.532,0,1,.000,18,25,.720,17,52,31,6,6,17,23
49,49,1990-02-08,@,CLE,L,82,106,33,83,.398,0,3,.000,16,21,.762,14,39,18,11,4,19,28,,41,84,.488,4,7,.571,20,29,.690,14,42,34,7,3,18,20
50,50,1990-02-13,,CHI,L,95,107,36,78,.462,2,6,.333,21,28,.750,15,38,23,11,0,26,24,,41,78,.526,3,6,.500,22,32,.688,15,42,27,13,4,22,24
51,51,1990-02-16,@,CHI,L,105,119,42,83,.506,0,2,.000,21,33,.636,15,38,27,15,4,19,25,,45,79,.570,3,7,.429,26,34,.765,11,42,31,11,5,23,23
52,52,1990-02-17,,DET,L,79,97,30,82,.366,0,2,.000,19,32,.594,19,42,18,7,3,13,21,,36,74,.486,0,3,.000,25,35,.714,14,46,24,6,11,13,22
53,53,1990-02-19,@,DET,L,85,94,34,74,.459,1,2,.500,16,23,.696,10,41,19,10,2,18,27,,39,78,.500,1,4,.250,15,24,.625,10,41,27,5,3,16,24
54,54,1990-02-21,,SEA,L,85,92,35,81,.432,0,2,.000,15,22,.682,13,46,23,5,3,17,23,,36,79,.456,2,7,.286,18,26,.692,10,36,22,12,2,13,23
55,55,1990-02-23,,NYK,W,128,121,53,85,.624,1,1,1.000,21,27,.778,9,46,34,9,8,15,32,,41,97,.423,6,13,.462,33,47,.702,18,42,23,9,2,11,19
56,56,1990-02-25,,MIL,L,108,113,46,103,.447,4,6,.667,12,18,.667,23,50,34,9,8,18,27,,44,78,.564,1,3,.333,24,40,.600,11,46,22,10,4,17,21
57,57,1990-02-26,@,ATL,L,114,123,49,85,.576,0,2,.000,16,22,.727,11,34,35,8,4,16,29,,43,87,.494,0,3,.000,37,47,.787,21,45,25,5,0,14,18
