Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Los Angeles Lakers,82,19780,.476,12.6,.743,.328,.109,.093,.213,.257,.510,.632,.427,.389,.417,.378,.554,.069,439,.248,953,.863,.280,.422,13,0
Memphis Grizzlies,82,19805,.454,12.4,.736,.324,.142,.093,.178,.264,.492,.610,.424,.362,.399,.349,.420,.054,336,.252,938,.887,.197,.389,29,0
Miami Heat,82,19830,.443,13.4,.783,.268,.115,.107,.294,.217,.467,.614,.391,.370,.397,.358,.534,.051,284,.200,699,.829,.221,.403,11,0
Milwaukee Bucks,82,19855,.449,11.6,.805,.330,.149,.117,.210,.195,.474,.561,.411,.381,.433,.344,.535,.047,288,.248,865,.847,.260,.411,11,0
Minnesota Timberwolves,82,19730,.451,11.6,.815,.306,.181,.122,.206,.185,.474,.589,.430,.379,.399,.350,.474,.035,210,.253,942,.862,.191,.358,27,0
New Jersey Nets,82,19830,.443,12.4,.778,.347,.085,.090,.256,.222,.470,.563,.365,.402,.403,.348,.632,.068,384,.260,824,.873,.259,.424,23,0
New Orleans Hornets,82,19805,.466,12.8,.761,.284,.137,.113,.227,.239,.490,.617,.427,.400,.413,.389,.484,.057,361,.204,759,.887,.289,.439,7,1
New York Knicks,82,19880,.439,11.5,.785,.353,.137,.101,.194,.215,.467,.554,.406,.365,.406,.337,.461,.044,266,.284,975,.792,.249,.362,21,1
Orlando Magic,82,19780,.474,12.8,.678,.325,.126,.096,.132,.322,.516,.635,.414,.405,.401,.386,.446,.071,423,.235,858,.873,.334,.413,18,0
Philadelphia 76ers,82,19755,.460,10.9,.857,.359,.116,.154,.227,.143,.483,.614,.402,.396,.378,.317,.516,.074,459,.273,961,.831,.261,.367,23,1
Phoenix Suns,82,19780,.500,12.7,.740,.310,.116,.102,.211,.260,.538,.671,.440,.439,.444,.393,.600,.066,422,.233,961,.818,.322,.401,5,0
Portland Trail Blazers,82,19905,.448,14.1,.782,.214,.137,.121,.311,.218,.468,.603,.430,.407,.416,.377,.516,.048,276,.153,531,.920,.379,.409,29,1
Sacramento Kings,82,19830,.464,12.0,.792,.330,.124,.098,.239,.208,.488,.599,.391,.397,.423,.373,.451,.044,273,.270,991,.833,.267,.389,8,0
San Antonio Spurs,82,19730,.457,13.2,.749,.248,.157,.116,.227,.251,.487,.649,.401,.402,.413,.369,.498,.017,94,.225,923,.928,.414,.401,11,0
Seattle SuperSonics,82,19830,.444,11.6,.866,.287,.159,.144,.277,.134,.462,.594,.390,.377,.408,.333,.527,.057,363,.209,774,.850,.243,.377,5,0
Toronto Raptors,82,19830,.468,13.6,.783,.272,.085,.111,.314,.217,.489,.603,.443,.426,.425,.392,.549,.053,317,.202,733,.944,.311,.412,19,3
Utah Jazz,82,19705,.497,11.2,.834,.375,.099,.100,.260,.166,.522,.641,.425,.416,.429,.372,.629,.057,341,.298,1167,.882,.195,.404,19,0
Washington Wizards,82,19905,.446,13.0,.759,.285,.145,.098,.231,.241,.475,.633,.384,.353,.388,.356,.474,.043,283,.225,849,.805,.181,.380,7,0
