Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Minnesota Timberwolves,82,240.6,39.6,83.8,.472,2.8,9.0,.308,36.8,74.8,.492,21.7,29.9,.727,13.4,28.0,41.4,25.7,10.0,6.7,14.2,22.6,103.6
Dallas Mavericks,82,240.6,39.2,79.4,.494,3.0,8.4,.362,36.1,71.0,.509,22.5,30.5,.737,13.4,30.5,44.0,24.0,9.5,6.2,17.4,20.1,103.8
Portland Trail Blazers,82,240.9,40.4,86.1,.469,3.6,10.1,.357,36.8,75.9,.484,20.3,27.0,.750,12.4,30.3,42.6,25.5,8.0,4.8,17.0,23.7,104.6
Los Angeles Lakers,82,240.9,40.7,85.5,.476,2.8,8.8,.315,37.9,76.6,.495,20.5,28.6,.717,15.7,30.9,46.5,26.4,8.1,5.2,16.4,20.2,104.7
Detroit Pistons,82,240.6,39.7,83.9,.473,3.3,9.9,.334,36.4,74.0,.492,22.0,29.9,.736,14.5,31.6,46.1,25.6,8.8,4.5,14.3,19.5,104.7
Boston Celtics,82,242.7,40.9,85.8,.477,2.8,8.1,.347,38.1,77.7,.491,20.4,27.0,.754,13.8,30.6,44.4,25.5,8.4,5.0,15.5,21.2,105.1
Philadelphia 76ers,82,241.5,43.3,89.5,.484,3.2,9.7,.331,40.1,79.8,.502,15.8,21.3,.744,14.7,31.8,46.5,28.7,9.8,4.7,14.5,21.1,105.6
Golden State Warriors,82,241.2,41.8,89.4,.468,3.7,10.6,.351,38.1,78.8,.483,18.8,25.7,.731,16.1,29.4,45.5,26.6,10.3,5.0,17.4,22.8,106.1
Charlotte Hornets,82,241.8,42.2,89.7,.471,3.9,11.2,.346,38.4,78.6,.488,18.4,24.8,.740,14.8,30.1,44.9,25.8,7.7,5.2,15.4,21.5,106.7
Sacramento Kings,82,240.9,41.0,85.6,.479,3.4,9.4,.359,37.6,76.2,.494,21.5,29.9,.722,14.5,31.4,45.9,25.0,9.1,6.1,16.4,23.1,106.9
Washington Bullets,82,240.3,43.5,85.7,.508,3.1,8.8,.349,40.5,76.9,.526,17.6,24.3,.723,13.6,28.8,42.5,25.8,9.9,5.7,15.7,22.2,107.7
Los Angeles Clippers,82,241.2,42.8,90.5,.473,3.8,10.8,.349,39.1,79.7,.490,19.3,26.9,.717,16.4,31.3,47.8,27.1,11.0,5.8,16.6,21.8,108.7
