Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Milwaukee Bucks,82,240.6,40.3,83.5,.483,3.3,9.5,.344,37.0,73.9,.501,22.2,29.7,.748,15.5,29.2,44.7,25.5,9.4,5.6,18.0,22.1,106.1
Phoenix Suns,82,240.6,42.7,89.1,.479,3.0,9.1,.333,39.6,80.0,.496,18.3,25.3,.723,13.6,28.2,41.9,25.7,8.6,6.2,16.2,24.9,106.7
Los Angeles Clippers,82,241.5,40.4,86.0,.470,3.4,9.6,.348,37.0,76.4,.485,22.6,29.7,.763,14.4,29.7,44.1,24.0,9.3,5.5,17.6,21.6,106.8
Denver Nuggets,82,241.8,40.5,88.0,.461,2.7,7.9,.343,37.8,80.1,.472,23.2,30.7,.754,14.1,30.5,44.7,23.0,9.1,6.1,16.3,24.2,106.9
Atlanta Hawks,82,241.8,42.8,86.3,.496,3.4,10.2,.337,39.4,76.1,.517,19.3,25.5,.758,13.2,29.4,42.6,26.7,9.0,4.4,16.6,22.9,108.4
Washington Bullets,82,241.5,43.4,88.0,.493,2.9,8.7,.336,40.5,79.3,.510,19.2,25.7,.749,13.8,31.2,45.0,25.1,8.8,5.2,15.6,22.2,108.9
Philadelphia 76ers,82,243.0,44.7,92.0,.486,3.4,9.5,.358,41.3,82.5,.500,17.3,22.9,.755,15.3,32.1,47.5,29.3,9.5,6.0,15.7,21.8,110.1
Charlotte Hornets,82,240.9,44.3,93.9,.472,2.9,9.2,.311,41.5,84.7,.490,18.9,25.4,.744,16.5,29.3,45.8,27.8,7.3,5.3,15.2,23.5,110.4
Golden State Warriors,82,242.7,42.3,87.8,.482,3.3,9.7,.343,39.0,78.1,.500,22.9,30.4,.755,14.3,28.6,42.9,25.6,10.0,5.6,16.5,24.3,110.9
Sacramento Kings,82,241.2,41.7,85.7,.487,2.6,8.3,.313,39.1,77.4,.506,25.0,33.1,.758,13.9,31.2,45.1,25.3,9.4,6.7,17.9,24.5,111.1
Dallas Mavericks,82,240.6,41.5,82.7,.501,2.9,8.0,.358,38.6,74.8,.517,28.7,37.5,.766,13.0,33.4,46.4,25.0,9.8,6.3,15.5,22.7,114.5
