Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Orlando Magic,82,19780,.472,10.8,.842,.361,.150,.106,.225,.158,.494,.631,.415,.360,.391,.356,.483,.078,436,.257,877,.883,.291,.382,6,0
Philadelphia 76ers,82,19880,.458,11.4,.872,.321,.117,.171,.262,.128,.474,.616,.381,.373,.408,.345,.535,.069,407,.231,778,.887,.213,.394,16,0
Phoenix Suns,82,19905,.494,13.1,.713,.310,.104,.097,.202,.287,.532,.671,.455,.433,.407,.399,.557,.063,389,.235,979,.856,.315,.448,15,0
Portland Trail Blazers,82,19955,.450,12.2,.807,.288,.162,.105,.253,.193,.474,.589,.441,.380,.405,.346,.464,.033,185,.228,810,.885,.363,.396,23,0
Sacramento Kings,82,19805,.450,12.7,.768,.294,.142,.077,.255,.232,.480,.600,.418,.380,.408,.350,.502,.035,206,.244,907,.858,.194,.357,4,0
San Antonio Spurs,82,19780,.474,12.7,.753,.288,.155,.107,.204,.247,.504,.653,.444,.406,.392,.381,.523,.025,128,.251,993,.934,.384,.406,9,0
Seattle SuperSonics,82,19830,.460,11.8,.781,.291,.183,.137,.170,.219,.487,.625,.421,.391,.401,.362,.503,.061,359,.207,761,.811,.235,.349,14,0
Toronto Raptors,82,19755,.463,13.2,.776,.277,.109,.117,.273,.224,.492,.619,.429,.379,.437,.363,.536,.040,229,.200,746,.906,.329,.427,13,1
Utah Jazz,82,19805,.474,11.4,.837,.359,.107,.113,.257,.163,.501,.621,.371,.401,.432,.335,.632,.039,239,.300,1127,.867,.159,.298,13,0
Washington Wizards,82,19830,.450,13.2,.763,.294,.121,.079,.269,.237,.482,.626,.386,.355,.405,.348,.487,.041,268,.232,887,.781,.208,.352,8,1
