Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Boston Celtics,82,240.3,41.9,90.0,.466,2.1,6.6,.319,39.8,83.5,.477,20.1,26.0,.773,12.8,28.3,41.0,25.3,9.0,4.3,12.2,22.5,106.0
Chicago Bulls,82,241.8,41.0,83.2,.493,2.5,7.1,.351,38.5,76.1,.506,21.8,29.2,.746,13.0,28.0,41.0,25.7,8.1,4.7,17.2,21.2,106.2
Milwaukee Bucks,82,241.8,40.1,83.8,.479,2.2,6.9,.321,37.9,76.9,.493,24.3,31.3,.774,14.1,29.3,43.5,24.7,8.4,5.4,18.4,22.9,106.8
Sacramento Kings,82,240.9,41.3,87.3,.473,2.0,6.2,.316,39.3,81.1,.485,22.3,28.3,.787,14.0,30.9,44.8,24.7,8.6,4.8,14.2,21.2,106.8
New York Knicks,82,241.8,42.6,90.6,.471,2.1,6.6,.315,40.6,84.0,.483,19.5,25.6,.761,15.2,27.9,43.1,25.9,8.8,5.1,15.7,22.8,106.9
Los Angeles Clippers,82,241.5,41.9,87.9,.476,2.3,7.0,.323,39.6,80.9,.490,21.2,27.5,.772,14.0,28.9,42.9,25.5,10.1,5.2,16.6,23.8,107.2
Atlanta Hawks,82,240.6,41.9,84.6,.496,2.2,6.5,.340,39.7,78.1,.509,21.5,27.8,.772,14.0,27.3,41.3,26.1,8.2,4.7,15.8,23.9,107.5
Phoenix Suns,82,242.1,43.0,92.5,.465,2.4,6.9,.355,40.6,85.7,.474,19.3,26.4,.733,14.7,28.5,43.1,25.9,8.3,4.8,15.3,26.2,107.8
Portland Trail Blazers,82,242.4,40.9,88.1,.464,2.8,8.4,.331,38.1,79.7,.478,23.4,30.5,.767,12.9,28.7,41.6,24.7,8.1,5.3,18.2,25.4,107.9
New Jersey Nets,82,240.3,41.5,85.6,.485,1.7,5.1,.336,39.8,80.5,.494,23.2,30.4,.765,14.0,31.6,45.5,22.8,9.4,5.8,17.3,23.0,108.0
Charlotte Hornets,82,240.9,41.9,84.4,.497,1.6,5.1,.314,40.3,79.3,.509,22.7,29.0,.784,13.0,33.2,46.2,25.2,7.8,4.7,16.8,21.4,108.2
Indiana Pacers,82,242.4,42.5,88.1,.482,2.1,6.6,.320,40.4,81.5,.496,22.0,29.2,.753,14.3,28.0,42.3,23.7,8.7,3.9,14.5,24.6,109.1
Washington Bullets,82,241.8,42.8,90.3,.474,1.7,5.8,.300,41.1,84.5,.486,22.5,29.0,.777,14.6,30.5,45.1,23.8,7.9,5.2,14.6,21.7,109.9
Miami Heat,82,240.6,41.7,85.5,.488,1.9,5.6,.342,39.8,79.9,.498,25.0,33.1,.755,13.7,30.1,43.8,25.3,10.5,5.8,18.0,21.7,110.3
Denver Nuggets,82,241.5,43.8,89.4,.489,2.0,6.3,.317,41.8,83.1,.502,23.6,30.7,.770,12.5,34.7,47.2,25.3,7.5,5.6,18.5,23.3,113.2
Golden State Warriors,82,240.3,45.9,96.2,.478,3.2,8.9,.356,42.7,87.2,.490,24.4,32.1,.759,18.2,31.6,49.9,28.4,10.0,5.2,17.3,27.1,119.4
Orlando Magic,82,241.5,47.1,94.6,.498,2.4,6.8,.353,44.7,87.8,.509,23.1,30.5,.758,14.3,31.3,45.6,28.5,9.0,6.8,14.8,25.1,119.8
