,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
50,50,2013-02-08,@,MEM,L,93,99,36,74,.486,6,17,.353,15,20,.750,7,34,18,5,4,16,25,,36,79,.456,8,20,.400,19,23,.826,9,43,26,6,4,12,22
51,51,2013-02-09,@,DAL,L,91,116,34,89,.382,6,16,.375,17,24,.708,17,52,12,4,1,15,26,,38,77,.494,11,20,.550,29,38,.763,6,44,25,9,6,10,23
52,52,2013-02-12,,HOU,L,107,116,38,84,.452,8,20,.400,23,31,.742,8,46,25,6,6,13,22,,43,91,.473,10,34,.294,20,25,.800,10,48,32,8,3,11,21
53,53,2013-02-19,@,UTA,L,101,115,39,83,.470,5,17,.294,18,24,.750,13,42,17,5,3,13,22,,39,78,.500,10,21,.476,27,33,.818,8,35,23,8,8,11,23
54,54,2013-02-20,,PHO,W,108,98,42,87,.483,10,20,.500,14,17,.824,13,44,29,6,6,10,16,,40,84,.476,9,17,.529,9,14,.643,11,41,28,7,8,14,18
55,55,2013-02-22,,SAS,W,107,101,39,94,.415,5,21,.238,24,30,.800,9,57,25,6,5,12,23,,37,95,.389,4,22,.182,23,32,.719,10,50,17,7,7,9,22
56,56,2013-02-24,@,MIN,W,100,99,37,81,.457,7,17,.412,19,23,.826,14,48,18,11,4,22,28,,37,85,.435,1,11,.091,24,31,.774,14,41,23,12,2,17,21
57,57,2013-02-26,@,IND,L,97,108,33,76,.434,12,21,.571,19,24,.792,15,46,16,11,6,20,23,,41,84,.488,6,21,.286,20,27,.741,14,42,22,14,9,12,17
58,58,2013-02-27,@,NYK,L,105,109,36,72,.500,15,27,.556,18,21,.857,5,38,14,6,4,17,23,,36,87,.414,11,34,.324,26,33,.788,16,46,19,12,3,10,23
59,59,2013-03-01,@,BOS,L,86,94,32,94,.340,5,23,.217,17,22,.773,13,54,17,6,1,11,24,,36,75,.480,3,15,.200,19,28,.679,2,44,24,6,5,17,20
60,60,2013-03-02,@,PHI,L,97,104,36,86,.419,10,26,.385,15,19,.789,11,35,22,14,3,19,14,,44,85,.518,12,18,.667,4,9,.444,11,48,29,9,5,23,18
61,61,2013-03-04,,TOR,W,125,118,47,82,.573,8,17,.471,23,28,.821,6,38,33,3,4,14,27,,41,94,.436,9,26,.346,27,35,.771,19,47,16,6,5,13,26
62,62,2013-03-06,,SAC,W,87,83,27,75,.360,8,23,.348,25,29,.862,6,46,19,9,4,17,14,,33,83,.398,8,24,.333,9,12,.750,6,40,28,12,4,14,24
63,63,2013-03-08,,HOU,L,88,94,33,87,.379,9,21,.429,13,20,.650,12,51,18,6,4,16,25,,27,74,.365,15,35,.429,25,34,.735,7,45,21,11,2,12,17
64,64,2013-03-09,,MIL,L,93,103,37,82,.451,6,15,.400,13,20,.650,12,47,21,4,1,17,21,,38,78,.487,13,28,.464,14,19,.737,6,42,29,8,5,15,20
65,65,2013-03-11,,NYK,W,92,63,32,78,.410,11,20,.550,17,24,.708,13,59,16,7,4,14,25,,20,73,.274,5,27,.185,18,28,.643,11,42,12,7,2,13,27
66,66,2013-03-13,,DET,W,105,97,41,72,.569,8,18,.444,15,25,.600,11,42,27,5,9,13,15,,40,89,.449,5,17,.294,12,14,.857,14,38,26,6,0,9,22
67,67,2013-03-15,,CHI,L,95,113,34,76,.447,3,14,.214,24,30,.800,7,34,16,8,7,12,17,,43,83,.518,8,16,.500,19,22,.864,11,43,28,8,0,14,22
68,68,2013-03-17,@,HOU,W,108,78,44,96,.458,13,26,.500,7,9,.778,8,50,27,7,6,10,17,,28,86,.326,9,35,.257,13,16,.813,12,48,16,6,5,15,15
